student_id,topic_id,subtopic_id,question_id,question_level,marked,question_level_code
17,288,577,5818,evaluate,0,5
17,288,577,5819,evaluate,0,5
17,288,577,5820,evaluate,0,5
17,288,577,5821,evaluate,0,5
17,288,577,5822,evaluate,0,5
17,288,577,5823,evaluate,0,5
17,288,578,5824,evaluate,1,5
17,288,578,5825,evaluate,0,5
17,288,578,5826,evaluate,0,5
17,288,578,5827,evaluate,1,5
17,288,578,5828,evaluate,0,5
17,288,578,5829,evaluate,0,5
17,288,578,5830,evaluate,1,5
17,288,578,5831,evaluate,0,5
17,288,578,5832,evaluate,0,5
17,288,578,5833,evaluate,0,5
17,288,578,5834,evaluate,1,5
630,288,574,5773,remember,1,1
630,288,574,5774,understand,0,2
630,288,574,5775,evaluate,0,5
630,288,574,5776,evaluate,0,5
630,288,574,5777,understand,0,2
630,288,574,5778,understand,0,2
630,288,574,5779,remember,0,1
630,288,574,5780,understand,1,2
630,288,574,5781,evaluate,0,5
630,288,574,5782,evaluate,1,5
630,288,575,5783,understand,0,2
630,288,575,5784,understand,1,2
630,288,575,5785,understand,0,2
630,288,575,5786,understand,0,2
630,288,575,5787,understand,1,2
630,288,575,5788,remember,1,1
630,293,602,6319,evaluate,0,5
630,293,602,6320,evaluate,0,5
630,293,602,6321,evaluate,1,5
630,293,602,6322,evaluate,0,5
630,293,602,6323,evaluate,0,5
630,293,603,6326,evaluate,0,5
630,293,603,6327,evaluate,0,5
630,293,603,6328,evaluate,0,5
630,293,603,6329,evaluate,0,5
630,293,603,6330,evaluate,0,5
630,293,603,6331,evaluate,0,5
5600,292,595,6281,evaluate,0,5
5600,292,595,6282,apply,1,3
5600,292,595,6283,apply,0,3
5600,292,595,6284,apply,0,3
5600,292,595,6285,evaluate,0,5
5600,292,595,6286,apply,1,3
7173,293,601,6310,evaluate,1,5
7173,293,601,6311,evaluate,1,5
7173,293,601,6312,evaluate,0,5
7173,293,601,6313,evaluate,1,5
7173,293,601,6314,evaluate,1,5
7173,294,604,6332,evaluate,1,5
7173,294,604,6333,evaluate,1,5
7173,294,604,6334,evaluate,1,5
7173,294,604,6335,evaluate,1,5
7173,294,604,6336,evaluate,1,5
7173,294,604,6338,evaluate,1,5
7173,294,604,6339,apply,0,3
7174,294,604,6332,evaluate,1,5
7174,294,604,6333,evaluate,0,5
7174,294,604,6334,evaluate,1,5
7174,294,604,6335,evaluate,1,5
7174,294,604,6336,evaluate,1,5
7174,294,604,6338,evaluate,1,5
7174,294,604,6339,apply,0,3
7174,296,618,6434,evaluate,1,5
7174,296,618,6435,evaluate,1,5
7174,296,618,6436,evaluate,0,5
7174,296,618,6437,evaluate,1,5
7174,296,618,6438,evaluate,1,5
7174,296,618,6439,evaluate,0,5
7181,288,574,5773,remember,1,1
7181,288,574,5774,understand,1,2
7181,288,574,5775,evaluate,1,5
7181,288,574,5776,evaluate,1,5
7181,288,574,5777,understand,1,2
7181,288,574,5778,understand,1,2
7181,294,604,6332,evaluate,1,5
7181,294,604,6333,evaluate,1,5
7181,294,604,6334,evaluate,1,5
7181,294,604,6335,evaluate,1,5
7181,294,604,6336,evaluate,1,5
7181,294,604,6338,evaluate,1,5
7181,294,604,6339,apply,1,3
7181,296,615,6415,evaluate,1,5
7181,296,615,6416,evaluate,1,5
7181,296,615,6417,evaluate,1,5
7181,296,615,6418,evaluate,1,5
7181,296,615,6419,evaluate,1,5
7181,296,615,6420,evaluate,1,5
7188,293,599,6326,evaluate,1,5
7188,293,599,6327,evaluate,1,5
7188,293,599,6328,evaluate,1,5
7188,293,599,6329,evaluate,1,5
7188,293,599,6330,evaluate,0,5
7188,293,603,6331,evaluate,1,5
7196,293,603,6326,evaluate,0,5
7196,293,603,6327,evaluate,0,5
7196,293,603,6328,evaluate,1,5
7196,293,603,6329,evaluate,0,5
7196,293,603,6330,evaluate,0,5
7196,293,603,6331,evaluate,1,5
7196,294,604,6332,evaluate,1,5
7196,294,604,6333,evaluate,0,5
7196,294,604,6334,evaluate,1,5
7196,294,604,6335,evaluate,1,5
7196,294,604,6336,evaluate,1,5
7196,294,604,6338,evaluate,1,5
7196,294,604,6339,apply,0,3
7196,296,615,6415,evaluate,1,5
7196,296,615,6416,evaluate,1,5
7196,296,615,6417,evaluate,1,5
7196,296,615,6418,evaluate,1,5
7196,296,615,6419,evaluate,1,5
7196,296,615,6420,evaluate,1,5
7196,296,615,6421,evaluate,1,5
7207,295,610,6415,evaluate,1,5
7207,295,610,6416,evaluate,1,5
7207,295,610,6417,evaluate,1,5
7207,295,610,6418,evaluate,1,5
7207,295,610,6419,evaluate,1,5
7207,295,610,6420,evaluate,1,5
7207,295,610,6421,evaluate,0,5
7207,295,611,6390,evaluate,1,5
7207,295,611,6391,evaluate,1,5
7207,295,611,6392,evaluate,1,5
7207,295,611,6393,evaluate,1,5
7207,295,611,6394,evaluate,1,5
7207,295,611,6395,evaluate,0,5
7207,295,611,6396,evaluate,1,5
7207,295,611,6397,evaluate,0,5
7624,294,604,6332,evaluate,1,5
7624,294,604,6333,evaluate,1,5
7624,294,604,6334,evaluate,1,5
7624,294,604,6335,evaluate,0,5
7624,294,604,6336,evaluate,1,5
7624,294,604,6338,evaluate,1,5
7624,294,604,6339,apply,0,3
7632,294,604,6332,evaluate,1,5
7632,294,604,6333,evaluate,1,5
7632,294,604,6334,evaluate,1,5
7632,294,604,6335,evaluate,1,5
7632,294,604,6336,evaluate,1,5
7632,294,604,6338,evaluate,1,5
7632,294,604,6339,apply,1,3
7641,293,601,6310,evaluate,0,5
7641,293,601,6311,evaluate,1,5
7641,293,601,6312,evaluate,1,5
7641,293,601,6313,evaluate,0,5
7641,293,601,6314,evaluate,1,5
7641,293,601,6315,apply,1,3
7641,293,601,6316,evaluate,1,5
7643,296,615,6415,evaluate,0,5
7643,296,615,6416,evaluate,0,5
7643,296,615,6417,evaluate,1,5
7643,296,615,6418,evaluate,0,5
7643,296,615,6419,evaluate,0,5
7643,296,615,6420,evaluate,0,5
7643,296,615,6421,evaluate,0,5
7646,293,601,6310,evaluate,0,5
7646,293,601,6311,evaluate,0,5
7646,293,601,6312,evaluate,1,5
7646,293,601,6313,evaluate,1,5
7646,293,601,6314,evaluate,1,5
7646,293,601,6315,apply,1,3
7646,293,601,6316,evaluate,1,5
7646,293,601,6317,evaluate,1,5
7646,293,601,6318,understand,1,2
7646,293,603,6326,evaluate,0,5
7646,293,603,6327,evaluate,1,5
7646,293,603,6328,evaluate,1,5
7646,293,603,6329,evaluate,1,5
7646,293,603,6330,evaluate,1,5
7646,296,616,6422,evaluate,0,5
7646,296,616,6423,evaluate,0,5
7646,296,616,6424,apply,1,3
7646,296,616,6425,evaluate,0,5
7646,296,616,6426,evaluate,0,5
7646,296,616,6427,understand,0,2
7646,296,616,6428,evaluate,0,5
7646,296,616,6429,evaluate,0,5
7648,296,615,6415,evaluate,1,5
7648,296,615,6416,evaluate,1,5
7648,296,615,6417,evaluate,1,5
7648,296,615,6418,evaluate,0,5
7648,296,615,6419,evaluate,1,5
7648,296,615,6420,evaluate,1,5
7648,296,615,6421,evaluate,1,5
9401,290,582,6182,evaluate,1,5
9401,290,582,6183,evaluate,1,5
9401,290,582,6184,evaluate,1,5
9401,290,582,6185,evaluate,1,5
9401,290,582,6186,evaluate,1,5
9401,290,582,6187,evaluate,0,5
9401,290,582,6188,evaluate,1,5
9401,290,582,6189,evaluate,1,5
9401,290,582,6190,evaluate,1,5
9401,290,582,6191,evaluate,1,5
9401,290,582,6192,evaluate,0,5
9401,290,582,6193,evaluate,0,5
9516,295,611,6390,evaluate,1,5
9516,295,611,6391,evaluate,1,5
9516,295,611,6392,evaluate,1,5
9516,295,611,6393,evaluate,1,5
9516,295,611,6394,evaluate,0,5
9516,295,611,6395,evaluate,1,5
9516,295,611,6396,evaluate,0,5
9516,295,611,6397,evaluate,0,5
9522,295,610,6377,remember,0,1
9522,295,610,6378,remember,0,1
9522,295,610,6379,remember,0,1
9522,295,610,6380,remember,0,1
9522,295,610,6381,remember,0,1
9522,295,610,6382,remember,0,1
9522,295,610,6383,remember,1,1
9522,295,610,6384,remember,0,1
9522,295,610,6385,evaluate,0,5
9522,295,610,6386,evaluate,0,5
9522,295,610,6387,evaluate,1,5
9522,295,610,6388,evaluate,1,5
9522,295,610,6389,evaluate,0,5
9522,295,611,6390,evaluate,1,5
9522,295,611,6391,evaluate,1,5
9522,295,611,6392,evaluate,1,5
9522,295,611,6393,evaluate,0,5
9522,295,611,6394,evaluate,1,5
9522,295,611,6395,evaluate,1,5
9522,295,611,6396,evaluate,1,5
9522,295,611,6397,evaluate,1,5
9522,295,612,6398,evaluate,0,5
9522,295,612,6399,evaluate,1,5
9522,295,612,6400,evaluate,1,5
9522,295,612,6401,evaluate,0,5
9522,295,612,6402,evaluate,0,5
9522,295,613,6403,apply,1,3
9522,295,613,6404,apply,1,3
9522,295,613,6405,apply,1,3
9522,295,613,6406,apply,1,3
9522,295,613,6407,apply,1,3
9522,295,614,6408,evaluate,1,5
9522,295,614,6409,evaluate,0,5
9522,295,614,6410,evaluate,0,5
9522,295,614,6411,evaluate,0,5
9522,295,614,6412,evaluate,0,5
9522,295,614,6413,evaluate,0,5
9522,295,614,6414,evaluate,1,5
9522,296,615,6415,evaluate,1,5
9522,296,615,6416,evaluate,1,5
9522,296,615,6417,evaluate,0,5
9522,296,615,6418,evaluate,1,5
9522,296,615,6419,evaluate,0,5
9522,296,615,6420,evaluate,0,5
9522,296,615,6421,evaluate,1,5
9522,298,629,6514,apply,1,3
9522,298,629,6515,apply,1,3
9522,298,629,6516,evaluate,0,5
9522,298,629,6517,evaluate,0,5
9522,298,629,6518,evaluate,0,5
9522,298,629,6519,evaluate,0,5
9522,298,629,6520,evaluate,0,5
9522,298,629,6521,evaluate,0,5
9522,298,629,6522,apply,0,3
9522,298,630,6523,understand,0,2
9522,298,630,6524,evaluate,0,5
9522,298,630,6525,evaluate,1,5
9522,298,630,6526,evaluate,0,5
9522,298,630,6527,evaluate,0,5
9522,298,630,6528,evaluate,0,5
9522,298,630,6529,evaluate,0,5
9522,298,630,6530,understand,0,2
9522,298,630,6531,evaluate,1,5
9527,291,589,6244,evaluate,0,5
9527,291,589,6245,evaluate,0,5
9527,291,589,6246,evaluate,1,5
9527,291,589,6247,evaluate,0,5
9527,291,589,6248,evaluate,0,5
9527,291,589,6249,evaluate,0,5
9527,291,589,6250,evaluate,1,5
9527,296,618,6434,evaluate,1,5
9527,296,618,6435,evaluate,1,5
9527,296,618,6436,evaluate,1,5
9527,296,618,6437,evaluate,1,5
9527,296,618,6438,evaluate,1,5
9533,296,615,6415,evaluate,1,5
9533,296,615,6416,evaluate,1,5
9533,296,615,6417,evaluate,0,5
9533,296,615,6418,evaluate,1,5
9533,296,615,6419,evaluate,0,5
9533,296,615,6420,evaluate,0,5
9533,296,615,6421,evaluate,1,5
11106,288,574,5773,remember,1,1
11106,288,574,5774,understand,1,2
11106,288,574,5775,evaluate,1,5
11106,288,574,5776,evaluate,1,5
11106,288,574,5777,understand,1,2
11106,288,574,5778,understand,1,2
11106,288,574,5779,remember,1,1
11106,288,574,5780,understand,1,2
11106,288,574,5781,evaluate,1,5
11106,288,574,5782,evaluate,1,5
11106,288,574,5863,understand,1,2
11109,294,604,6332,evaluate,1,5
11109,294,604,6333,evaluate,1,5
11109,294,604,6334,evaluate,1,5
11109,294,604,6335,evaluate,0,5
11109,294,604,6336,evaluate,1,5
11109,294,604,6338,evaluate,1,5
11109,294,604,6339,apply,1,3
11109,296,615,6415,evaluate,1,5
11109,296,615,6416,evaluate,1,5
11109,296,615,6417,evaluate,1,5
11109,296,615,6418,evaluate,1,5
11109,296,615,6419,evaluate,1,5
11109,296,615,6420,evaluate,1,5
11109,296,615,6421,evaluate,1,5
11109,298,627,6494,understand,0,2
11109,298,627,6495,evaluate,1,5
11109,298,627,6496,evaluate,1,5
11109,298,627,6497,evaluate,0,5
11109,298,627,6498,evaluate,0,5
11109,298,627,6499,evaluate,1,5
11109,298,627,6500,evaluate,0,5
11109,298,627,6501,evaluate,1,5
11109,298,627,6502,evaluate,0,5
11109,298,627,6503,evaluate,0,5
11109,298,630,6523,understand,1,2
11109,298,630,6524,evaluate,1,5
